query,status,plan,build_ms,deriv,gates,minus,edges,answers,share,wmc_pwe
Mminus,ok,4,2048,153111,616222,150000,787486,10000,0.327,
Q10,ok,1,1499,148301,296602,0,593204,148301,0.5,
Q3,ok,1,1110,125154,250308,0,500616,125154,0.5,
Q5,ok,1,363,23903,47806,0,143418,23903,0.375,
Q9,ok,1,30345,183263,366525,0,733049,183262,0.5,
