query,status,plan,build_ms,deriv,gates,minus,edges,answers,share,wmc_pwe
Mminus,too-large,,,,,,,,,
Q10,ok,1,30292,170641,341281,0,682563,170640,0.5,
Q3,ok,1,30279,191233,382465,0,764929,191232,0.5,
Q5,ok,1,30307,138785,277569,0,832707,138784,0.375,
Q9,ok,1,30295,108515,217030,0,434060,108515,0.5,
