query,status,plan,build_ms,deriv,gates,minus,edges,answers,share,wmc_pwe
Mminus,ok,4,242,15337,61674,15000,79380,1000,0.326,
Q10,ok,1,189,14902,29804,0,59608,14902,0.5,
Q3,ok,1,158,14908,29816,0,59632,14908,0.5,
Q5,ok,1,183,2333,4666,0,13998,2333,0.375,
Q9,ok,1,683,60175,120350,0,240700,60175,0.5,
