commit,engine,engine_version,scale,class,template,instance,query_sha256,method,implementation,status,answers,median_ms,min_ms,max_ms,mean_ms,sd_ms,warmups,runs,timeout_s,response_bytes,c_parse_median_ms,gates,edges,derivations,npcs_token_occurrences,rewrite_ms,samples_json,c_parse_samples_json,c_protocol_median_ms,c_protocol_samples_json,construct_total_ms,construct_total_samples_json,construct_unattributed_median_ms,construct_unattributed_samples_json,protocol,batch_id,answer_kind,answer_key_count,answer_fingerprint,construction_requested,construction_effective,circuit_sha256,circuit_cache_path,circuit_cache_metadata_path,circuit_cache_observation_sha256,circuit_cache_sidecar_sha256,base_endpoint_sha256,reified_endpoint_sha256,update_endpoint_sha256,base_data_identity_sha256,reified_data_identity_sha256,update_for,access_mode,base_data_name,reified_data_name,update_canary_sha256,store_instance_sha256,store_discriminator_sha256,tool_sha256,java_runtime_sha256,npcs_oplus,npcs_ominus,npcs_leaves,run_identity_sha256,notes
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3,graphdb,GraphDB (RDF4J) [engines.json profile],10M,O,O1,00,0f31130653f6c7f7dad353eb0c056676430f43d831aa1c986bb0e5cfe3f2b72c,C,SPARQLcirc CircuitRewriter,err:ConstructionProtocolError,,,,,,,0,1,900.0,,,,,,,381.5728289773688,[],[],,[],,[],,[],r9.2-frozen-identity-v9,57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0,,,,,,,,,,,d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35,1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa,84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a,59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8,a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106,f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,ba0306991a64092e319521e73d052855cb988dbe9cfb2e527b23a55f036b2108,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored; outside-cell post-failure orphan cleanup=ok"",""cell_wall_ms"":385.795,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:ConstructionProtocolError"",""status_evidence"":{""kind"":""unspecified"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored""},""outside_cell_cleanup"":{""orphan_preflight_ms"":3846.807,""orphan_preflight_status"":""ok"",""orphan_postfailure_ms"":64.8,""orphan_postfailure_status"":""ok""},""endpoint_lock"":{""wait_ms"":0.004,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3"",""batch_id"":""57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0"",""query_sha256"":""0f31130653f6c7f7dad353eb0c056676430f43d831aa1c986bb0e5cfe3f2b72c"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""10M"",""base_endpoint_sha256"":""d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35"",""reified_endpoint_sha256"":""1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa"",""update_endpoint_sha256"":""84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a"",""base_data_identity_sha256"":""59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8"",""reified_data_identity_sha256"":""a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106"",""store_discriminator_sha256"":""f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""ba0306991a64092e319521e73d052855cb988dbe9cfb2e527b23a55f036b2108""}"
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3,graphdb,GraphDB (RDF4J) [engines.json profile],10M,O,O2,00,e2353d138cc41a9c8013909b8e8b380cf7ba04e2544b8ca784e13ce0c7009eb6,C,SPARQLcirc CircuitRewriter,err:ConstructionProtocolError,,,,,,,0,1,900.0,,,,,,,369.63095003739,[],[],,[],,[],,[],r9.2-frozen-identity-v9,57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0,,,,,,,,,,,d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35,1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa,84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a,59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8,a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106,f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,09023f7c47e240c79dd4867ee750a8c79a5973906d909b4174a864b7d7114695,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored; outside-cell post-failure orphan cleanup=ok"",""cell_wall_ms"":373.995,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:ConstructionProtocolError"",""status_evidence"":{""kind"":""unspecified"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored""},""outside_cell_cleanup"":{""orphan_preflight_ms"":57.356,""orphan_preflight_status"":""ok"",""orphan_postfailure_ms"":49.952,""orphan_postfailure_status"":""ok""},""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3"",""batch_id"":""57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0"",""query_sha256"":""e2353d138cc41a9c8013909b8e8b380cf7ba04e2544b8ca784e13ce0c7009eb6"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""10M"",""base_endpoint_sha256"":""d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35"",""reified_endpoint_sha256"":""1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa"",""update_endpoint_sha256"":""84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a"",""base_data_identity_sha256"":""59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8"",""reified_data_identity_sha256"":""a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106"",""store_discriminator_sha256"":""f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""09023f7c47e240c79dd4867ee750a8c79a5973906d909b4174a864b7d7114695""}"
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3,graphdb,GraphDB (RDF4J) [engines.json profile],10M,O,O3,00,8600634422cefcb5ad7bc23d2acb693e5f8bf0686ad4714d2eba90a935b2f2b3,C,SPARQLcirc CircuitRewriter,err:ConstructionProtocolError,,,,,,,0,1,900.0,,,,,,,370.29853998683393,[],[],,[],,[],,[],r9.2-frozen-identity-v9,57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0,,,,,,,,,,,d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35,1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa,84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a,59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8,a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106,f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,c754191390e89477d7b0386466f85f7eaefdbfd89c12c495fabe8e89d88c4d4c,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored; outside-cell post-failure orphan cleanup=ok"",""cell_wall_ms"":374.624,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:ConstructionProtocolError"",""status_evidence"":{""kind"":""unspecified"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored""},""outside_cell_cleanup"":{""orphan_preflight_ms"":48.837,""orphan_preflight_status"":""ok"",""orphan_postfailure_ms"":49.377,""orphan_postfailure_status"":""ok""},""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3"",""batch_id"":""57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0"",""query_sha256"":""8600634422cefcb5ad7bc23d2acb693e5f8bf0686ad4714d2eba90a935b2f2b3"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""10M"",""base_endpoint_sha256"":""d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35"",""reified_endpoint_sha256"":""1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa"",""update_endpoint_sha256"":""84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a"",""base_data_identity_sha256"":""59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8"",""reified_data_identity_sha256"":""a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106"",""store_discriminator_sha256"":""f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""c754191390e89477d7b0386466f85f7eaefdbfd89c12c495fabe8e89d88c4d4c""}"
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3,graphdb,GraphDB (RDF4J) [engines.json profile],10M,O,O4,00,c2e7f8e7377b1ac6cc1c202c8233c4b4c10a2b85eae74cbb49844b3515dd26f8,C,SPARQLcirc CircuitRewriter,err:ConstructionProtocolError,,,,,,,0,1,900.0,,,,,,,379.83116309624165,[],[],,[],,[],,[],r9.2-frozen-identity-v9,57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0,,,,,,,,,,,d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35,1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa,84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a,59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8,a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106,f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,9ff9633749ec4b5dfaf0043b1039a5c2aa0f4136f173b3737313a6eb328d21b2,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored; outside-cell post-failure orphan cleanup=ok"",""cell_wall_ms"":384.453,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:ConstructionProtocolError"",""status_evidence"":{""kind"":""unspecified"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored""},""outside_cell_cleanup"":{""orphan_preflight_ms"":46.157,""orphan_preflight_status"":""ok"",""orphan_postfailure_ms"":48.264,""orphan_postfailure_status"":""ok""},""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3"",""batch_id"":""57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0"",""query_sha256"":""c2e7f8e7377b1ac6cc1c202c8233c4b4c10a2b85eae74cbb49844b3515dd26f8"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""10M"",""base_endpoint_sha256"":""d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35"",""reified_endpoint_sha256"":""1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa"",""update_endpoint_sha256"":""84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a"",""base_data_identity_sha256"":""59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8"",""reified_data_identity_sha256"":""a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106"",""store_discriminator_sha256"":""f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""9ff9633749ec4b5dfaf0043b1039a5c2aa0f4136f173b3737313a6eb328d21b2""}"
76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3,graphdb,GraphDB (RDF4J) [engines.json profile],10M,O,O5,00,ec9af3cffe6976bcc27a5ca3ba0732c80fe7716160af6d25aa1d6b447b6300e2,C,SPARQLcirc CircuitRewriter,err:ConstructionProtocolError,,,,,,,0,1,900.0,,,,,,,366.36122106574476,[],[],,[],,[],,[],r9.2-frozen-identity-v9,57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0,,,,,,,,,,,d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35,1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa,84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a,59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8,a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106,f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,c0a14a6c71332e8940b7f63c6b852286a96917344fdfd5b95adbbd2cd24cc06e,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored; outside-cell post-failure orphan cleanup=ok"",""cell_wall_ms"":370.952,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:ConstructionProtocolError"",""status_evidence"":{""kind"":""unspecified"",""message"":""CircuitRun construction marker disagrees with the requested strict mode: requested=factored, effective=flat, CLI=factored""},""outside_cell_cleanup"":{""orphan_preflight_ms"":45.088,""orphan_preflight_status"":""ok"",""orphan_postfailure_ms"":45.468,""orphan_postfailure_status"":""ok""},""endpoint_lock"":{""wait_ms"":0.004,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""76e2471d632e0b1b1d96369e3e9ef9d54a0fc4f3"",""batch_id"":""57990b689a67f183e18812e16d350d426dad1d5c9f1c08b209e0f4432d59cef0"",""query_sha256"":""ec9af3cffe6976bcc27a5ca3ba0732c80fe7716160af6d25aa1d6b447b6300e2"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""10M"",""base_endpoint_sha256"":""d469fb81abed135738f704ddf57de41e98939ca5bbb2509a18a42b807368aa35"",""reified_endpoint_sha256"":""1dd1196abdf2d40865f5b4bc27acd5317de9ef00443776c930991278501566aa"",""update_endpoint_sha256"":""84611d18787ae81d7e9fa8ea2c2cf2319e90db0620f009a8ca19b85486a57c7a"",""base_data_identity_sha256"":""59fb59a04cd20e6dec9ee47cf1de02734068a3328cade998a3fc44a746054ea8"",""reified_data_identity_sha256"":""a42a308bd2c5294f3aa79a1a3b15804d4137fd68d7677d9adc037e257a217e76"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""95f85b19db76321fdab33c70bb05485617743f83e3c9c07ce9e365b03fd9b106"",""store_discriminator_sha256"":""f9ff8d30db2db1840ca1585b5598b1cf4d1d06ac2adb86a55b430669507fabff"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""c0a14a6c71332e8940b7f63c6b852286a96917344fdfd5b95adbbd2cd24cc06e""}"
