commit,engine,engine_version,scale,class,template,instance,query_sha256,method,implementation,status,answers,median_ms,min_ms,max_ms,mean_ms,sd_ms,warmups,runs,timeout_s,response_bytes,c_parse_median_ms,gates,edges,derivations,npcs_token_occurrences,rewrite_ms,samples_json,c_parse_samples_json,c_protocol_median_ms,c_protocol_samples_json,construct_total_ms,construct_total_samples_json,construct_unattributed_median_ms,construct_unattributed_samples_json,protocol,batch_id,answer_kind,answer_key_count,answer_fingerprint,construction_requested,construction_effective,circuit_sha256,circuit_cache_path,circuit_cache_metadata_path,circuit_cache_observation_sha256,circuit_cache_sidecar_sha256,base_endpoint_sha256,reified_endpoint_sha256,update_endpoint_sha256,base_data_identity_sha256,reified_data_identity_sha256,update_for,access_mode,base_data_name,reified_data_name,update_canary_sha256,store_instance_sha256,store_discriminator_sha256,tool_sha256,java_runtime_sha256,npcs_oplus,npcs_ominus,npcs_leaves,run_identity_sha256,notes
92aea36e1955e96dd694e025c6e996e73200006e,graphdb,GraphDB (RDF4J) [engines.json profile],100M,C,C1,00,ef8aa4a34b4e6f77cd2222ea98467b92ca1acc5ed05ba7efc6d7f7aff345f7a1,C,SPARQLcirc CircuitRewriter,timeout,,,,,,,0,1,1800.0,,,,,,,439.916292,[],[],,[],,[],,[],r9.2-frozen-identity-v9,352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509,,,,,,,,,,,e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f,2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8,f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,915304eff4ba9219b9371d48e48edb0eed499c2a43265040492a66afb0ded21d,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""whole cell exceeded 1800s hard deadline; worker reaped; outside-cell post-kill orphan cleanup FAILED; subsequent C must pass preflight: HTTP response exceeded 15s hard deadline"",""cell_wall_ms"":1800000.0,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""timeout"",""status_evidence"":{""kind"":""hard-wall-deadline"",""message"":""whole cell exceeded 1800s hard deadline; worker reaped""},""outside_cell_cleanup"":{""orphan_preflight_ms"":37.141,""orphan_preflight_status"":""ok"",""orphan_postkill_status"":""failed"",""orphan_postkill_error"":""HTTP response exceeded 15s hard deadline""},""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""92aea36e1955e96dd694e025c6e996e73200006e"",""batch_id"":""352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509"",""query_sha256"":""ef8aa4a34b4e6f77cd2222ea98467b92ca1acc5ed05ba7efc6d7f7aff345f7a1"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f"",""reified_endpoint_sha256"":""2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8"",""update_endpoint_sha256"":""f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""915304eff4ba9219b9371d48e48edb0eed499c2a43265040492a66afb0ded21d""}"
92aea36e1955e96dd694e025c6e996e73200006e,graphdb,GraphDB (RDF4J) [engines.json profile],100M,C,C2,00,3a541db29afdc134602c70294332f99a26badf7d0abb258173084dcef59f3af1,C,SPARQLcirc CircuitRewriter,err:cleanup,,,,,,,0,1,1800.0,,,,,,,,[],[],,[],,[],,[],r9.2-frozen-identity-v9,352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509,,,,,,,,,,,e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f,2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8,f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,e4c65c9506d77a45c4f788ae38f70ecf784c6b706b497b20c35364ea0286c57e,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""outside-cell orphan preflight failed; C cell not started: HTTP response exceeded 15s hard deadline"",""cell_wall_ms"":0.0,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:cleanup"",""status_evidence"":{""kind"":""unspecified"",""message"":""outside-cell orphan preflight failed; C cell not started: HTTP response exceeded 15s hard deadline""},""outside_cell_cleanup"":{""orphan_preflight_status"":""failed"",""error"":""HTTP response exceeded 15s hard deadline""},""endpoint_lock"":{""wait_ms"":0.004,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""92aea36e1955e96dd694e025c6e996e73200006e"",""batch_id"":""352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509"",""query_sha256"":""3a541db29afdc134602c70294332f99a26badf7d0abb258173084dcef59f3af1"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f"",""reified_endpoint_sha256"":""2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8"",""update_endpoint_sha256"":""f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""e4c65c9506d77a45c4f788ae38f70ecf784c6b706b497b20c35364ea0286c57e""}"
92aea36e1955e96dd694e025c6e996e73200006e,graphdb,GraphDB (RDF4J) [engines.json profile],100M,C,C3,00,8b244b13319b822a74e59eeb13abb60bb762b2e191e1bf3198b102b93135f740,C,SPARQLcirc CircuitRewriter,err:cleanup,,,,,,,0,1,1800.0,,,,,,,,[],[],,[],,[],,[],r9.2-frozen-identity-v9,352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509,,,,,,,,,,,e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f,2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8,f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,f978b5826904bd78d82a0e9fc62ffd30040a92cf2ef2ac776e7275ebb10bef2b,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""outside-cell orphan preflight failed; C cell not started: HTTP response exceeded 15s hard deadline"",""cell_wall_ms"":0.0,""c_parse_samples"":[],""c_protocol_samples"":[],""construct_total_samples"":[],""construct_unattributed_samples"":[],""status"":""err:cleanup"",""status_evidence"":{""kind"":""unspecified"",""message"":""outside-cell orphan preflight failed; C cell not started: HTTP response exceeded 15s hard deadline""},""outside_cell_cleanup"":{""orphan_preflight_status"":""failed"",""error"":""HTTP response exceeded 15s hard deadline""},""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd.lock""},""construction_requested"":null,""construction_effective"":null,""commit"":""92aea36e1955e96dd694e025c6e996e73200006e"",""batch_id"":""352b577b74b8e4265146f3fb620b4789b650e4790c94ee08e203bf1f58a84509"",""query_sha256"":""8b244b13319b822a74e59eeb13abb60bb762b2e191e1bf3198b102b93135f740"",""engine"":""graphdb"",""engine_version"":""GraphDB (RDF4J) [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""e1e370c3c3e41897f966ee22e8c7c98840f6ecade4ccb1698265b03c62141a2f"",""reified_endpoint_sha256"":""2c97fc305990d2aa1e0f09f37216d4d5b1419027440c3151c422415f0c836db8"",""update_endpoint_sha256"":""f3c05af6c7aa3bbf0aae501a61efa32804f36e642d32f61fe21875892b248a8a"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""e6d3d236675cf5aefb65ff5897cc6e142b08e2a2be9e4af928e482100bc8e0bd"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""f978b5826904bd78d82a0e9fc62ffd30040a92cf2ef2ac776e7275ebb10bef2b""}"
