query,bound,status,build_ms,plain_ms,c_overhead,deriv,gates,edges,answers,T_string,T_circ,share
S-star,True,ok,31,10,3.23,252,254,1008,2,756,1262,0.599
F-snow,True,ok,12,7,1.84,6,7,30,1,24,37,0.649
L-path,True,ok,15,8,1.86,45,90,180,45,135,270,0.5
