query,repo,mode,status,plan_constructs,build_ms,plain_ms,c_overhead,deriv,minus_gates,gates,edges,answers,T_string,T_circ,share,wmc_pwe_maxdiff
M-minus,watdiv,bound User10003,ok,4,48,9,5.48,2,2,10,10,2,6,20,0.3,0.0e+00
M-minus2,watdiv,bound User10017,ok,1,7,6,1.15,11,0,22,22,11,33,44,0.75,7.8e-16
