query,repo,mode,status,plan_constructs,build_ms,plain_ms,c_overhead,deriv,minus_gates,gates,edges,answers,T_string,T_circ,share,wmc_pwe_maxdiff
M-minus,watdiv100m,bound User100000,ok,4,93,7,12.89,3,3,15,15,3,9,30,0.3,1.1e-16
M-minus2,watdiv100m,bound User100002,ok,1,5,5,1.0,8,0,16,16,8,24,32,0.75,2.2e-16
