query,repo,mode,status,plan_constructs,build_ms,plain_ms,c_overhead,deriv,minus_gates,gates,edges,answers,T_string,T_circ,share,wmc_pwe_maxdiff
M-minus,watdiv,bound User10003,ok,4,58,5,12.06,2,2,10,10,2,2,20,0.1,0.0e+00
M-minus2,watdiv,bound User10017,ok,1,5,4,1.37,11,0,22,22,11,11,44,0.25,7.8e-16
