query,bound,status,build_ms,plain_ms,c_overhead,deriv,gates,edges,answers,T_string,T_circ,share
S-star,False,err:IncompleteRead,,,,,,,,,,
F-snow,False,err:http,,,,,,,,,,
L-path,False,err:http,,,,,,,,,,
