answer,ours_guarded,sparqlprov_unguarded,pwe_truth,ours_matches_pwe,sparqlprov_wrong
"?x=A,?y=X",0.5,0.25,0.5,True,True
"?x=B,?y=Y",0.5,0.25,0.5,True,True
