instance,answers,derivations,T_string,T_circuit,sharing,build_ms,wmc_ms
drug,2,3,9,25,0.4,0.1,0
layered-4x2,2,16,64,68,0.9,0.2,0
layered-4x3,3,81,324,147,2.2,0.3,-
layered-4x4,4,256,1024,256,4.0,0.4,-
layered-4x6,6,1296,5184,564,9.2,0.8,-
layered-4x8,8,4096,16384,992,16.5,1.1,-
deep-4x2,2,16,64,68,0.9,0.1,0
deep-8x2,2,256,2048,156,13.1,0.3,-
deep-12x2,2,4096,49152,244,201.4,0.6,-
