commit,engine,engine_version,scale,class,template,instance,query_sha256,method,implementation,status,answers,median_ms,min_ms,max_ms,mean_ms,sd_ms,warmups,runs,timeout_s,response_bytes,c_parse_median_ms,gates,edges,derivations,npcs_token_occurrences,rewrite_ms,samples_json,c_parse_samples_json,c_protocol_median_ms,c_protocol_samples_json,construct_total_ms,construct_total_samples_json,construct_unattributed_median_ms,construct_unattributed_samples_json,protocol,batch_id,answer_kind,answer_key_count,answer_fingerprint,construction_requested,construction_effective,circuit_sha256,circuit_cache_path,circuit_cache_metadata_path,circuit_cache_observation_sha256,circuit_cache_sidecar_sha256,base_endpoint_sha256,reified_endpoint_sha256,update_endpoint_sha256,base_data_identity_sha256,reified_data_identity_sha256,update_for,access_mode,base_data_name,reified_data_name,update_canary_sha256,store_instance_sha256,store_discriminator_sha256,tool_sha256,java_runtime_sha256,npcs_oplus,npcs_ominus,npcs_leaves,run_identity_sha256,notes
4b167341d19b6cbc81c92b1766e1dface891aa9b,oxigraph,Oxigraph [engines.json profile],100M,F,F1,00,dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02,C,SPARQLcirc CircuitRewriter,ok,11,15811.0,15811.0,15811.0,15811.0,0.0,0,1,1800.0,41174,4.3,22,77,11,,375.232975,[15810.967],[4.312],0.0,[0.0],15815.8,[15815.82],0.5,[0.541],r9.2-frozen-identity-v9,a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955,term-aware-candidate-set-v1,11,fad2b61b449efdd3efc1de1c7653c8155bb7ee4d1ae6e98f4ce271980b4a173a,flat,flat,57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02-57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7.nt,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02-57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7.json,c7a36bc1e9f7400e67d112f4266ce124fa9ef2028ef105124ec991de7efc21f3,9f434ab546136adb6e95c3d271d901e4e234136ed1f1fc27bec8883014423859,c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60,9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803,a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,75ba360657eb77502875b42d3fa581ee2e380f0a56b475afedb2b0e3f37b7aaa,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""C requested=flat effective=flat; steps=1 feedback=0; network includes CONSTRUCT, feedback INSERT, and cleanup DELETE"",""cell_wall_ms"":16196.966,""answer_kind"":""term-aware-candidate-set-v1"",""answer_key_count"":11,""answer_fingerprint"":""fad2b61b449efdd3efc1de1c7653c8155bb7ee4d1ae6e98f4ce271980b4a173a"",""c_parse_samples"":[4.312],""c_protocol_samples"":[{""requested_mode"":""flat"",""effective_mode"":""flat"",""fallback_reason"":null,""plan_steps"":1,""feedback_steps"":0,""feedback_triples"":0,""construct_query_ms"":15810.967,""feedback_update_ms"":0.0,""cleanup_ms"":0.0,""client_protocol_ms"":0.0,""network_scope"":""construct+feedback+cleanup"",""circuit_sha256"":""57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7"",""answer_fingerprint"":""fad2b61b449efdd3efc1de1c7653c8155bb7ee4d1ae6e98f4ce271980b4a173a"",""semantic_signature_sha256"":""33f0bab28613727d7e95542b1178a10e526424af6c0d32934df3ed8088e859e1"",""structure_signature"":{""gates"":22,""edges"":77,""answers"":11,""derivations"":11,""leaves"":28,""plus"":11,""minus"":0,""nodes"":50,""canonical_bytes"":41174},""construct_total_ms"":15815.82,""client_unattributed_ms"":0.541}],""construct_total_samples"":[15815.82],""construct_unattributed_samples"":[0.541],""status"":""ok"",""status_evidence"":null,""c_warmup_signatures"":[],""measured_semantic_signature_sha256"":""33f0bab28613727d7e95542b1178a10e526424af6c0d32934df3ed8088e859e1"",""measured_repetitions_consistent"":true,""cache_snapshot_ms"":1.199,""cache_snapshot_scope"":""first-measured-response; deferred until all runs succeeded"",""outside_cell_cache_write_ms"":6.104,""endpoint_lock"":{""wait_ms"":0.004,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a.lock""},""construction_requested"":""flat"",""construction_effective"":""flat"",""circuit_sha256"":""57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7"",""circuit_triples"":275,""circuit_bytes"":41174,""circuit_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02-57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7.nt"",""metadata_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02-57d0c632f5cd8e44e0f2a01d4a37e6cb88fe9737b31999c3d6e4a97cdd0aeab7.json"",""producer_observation_sha256"":""c7a36bc1e9f7400e67d112f4266ce124fa9ef2028ef105124ec991de7efc21f3"",""sidecar_sha256"":""9f434ab546136adb6e95c3d271d901e4e234136ed1f1fc27bec8883014423859"",""commit"":""4b167341d19b6cbc81c92b1766e1dface891aa9b"",""batch_id"":""a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955"",""query_sha256"":""dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02"",""engine"":""oxigraph"",""engine_version"":""Oxigraph [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60"",""reified_endpoint_sha256"":""9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803"",""update_endpoint_sha256"":""a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""75ba360657eb77502875b42d3fa581ee2e380f0a56b475afedb2b0e3f37b7aaa""}"
4b167341d19b6cbc81c92b1766e1dface891aa9b,oxigraph,Oxigraph [engines.json profile],100M,F,F2,00,a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642,C,SPARQLcirc CircuitRewriter,ok,13,104304.5,104304.5,104304.5,104304.5,0.0,0,1,1800.0,68402,5.9,26,117,13,,392.533082,[104304.49],[5.939],0.0,[0.0],104310.9,[104310.926],0.5,[0.497],r9.2-frozen-identity-v9,a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955,term-aware-candidate-set-v1,13,3c7f145fc6e01ba0de60e5752b5cdd2e01864b94b81ca59b2f2a856ed9928e4e,flat,flat,f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642-f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c.nt,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642-f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c.json,dee85261d8ef80a8ce5e4d86854a1ec26f8e1e068524a06ae70d4fea9f18073c,553b432618afb473c5b96603ef41b18184ea400215b88a9cea004ce0c2178670,c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60,9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803,a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,d56cf901c6e2771b45ad59a0c1001377666e8ca7462f3bcb221ee03a8609c349,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""C requested=flat effective=flat; steps=1 feedback=0; network includes CONSTRUCT, feedback INSERT, and cleanup DELETE"",""cell_wall_ms"":104709.823,""answer_kind"":""term-aware-candidate-set-v1"",""answer_key_count"":13,""answer_fingerprint"":""3c7f145fc6e01ba0de60e5752b5cdd2e01864b94b81ca59b2f2a856ed9928e4e"",""c_parse_samples"":[5.939],""c_protocol_samples"":[{""requested_mode"":""flat"",""effective_mode"":""flat"",""fallback_reason"":null,""plan_steps"":1,""feedback_steps"":0,""feedback_triples"":0,""construct_query_ms"":104304.49,""feedback_update_ms"":0.0,""cleanup_ms"":0.0,""client_protocol_ms"":0.0,""network_scope"":""construct+feedback+cleanup"",""circuit_sha256"":""f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c"",""answer_fingerprint"":""3c7f145fc6e01ba0de60e5752b5cdd2e01864b94b81ca59b2f2a856ed9928e4e"",""semantic_signature_sha256"":""a82ea35ee1b1ff54fbd71643643f91037900d62a4cb087fd55f70e0ffbfa757d"",""structure_signature"":{""gates"":26,""edges"":117,""answers"":13,""derivations"":13,""leaves"":104,""plus"":13,""minus"":0,""nodes"":130,""canonical_bytes"":68402},""construct_total_ms"":104310.926,""client_unattributed_ms"":0.497}],""construct_total_samples"":[104310.926],""construct_unattributed_samples"":[0.497],""status"":""ok"",""status_evidence"":null,""c_warmup_signatures"":[],""measured_semantic_signature_sha256"":""a82ea35ee1b1ff54fbd71643643f91037900d62a4cb087fd55f70e0ffbfa757d"",""measured_repetitions_consistent"":true,""cache_snapshot_ms"":1.849,""cache_snapshot_scope"":""first-measured-response; deferred until all runs succeeded"",""outside_cell_cache_write_ms"":7.599,""endpoint_lock"":{""wait_ms"":0.005,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a.lock""},""construction_requested"":""flat"",""construction_effective"":""flat"",""circuit_sha256"":""f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c"",""circuit_triples"":429,""circuit_bytes"":68402,""circuit_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642-f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c.nt"",""metadata_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642-f26139cae7a9692a2838a20fd01905e3d0002d93269ae431521c1656fb25eb1c.json"",""producer_observation_sha256"":""dee85261d8ef80a8ce5e4d86854a1ec26f8e1e068524a06ae70d4fea9f18073c"",""sidecar_sha256"":""553b432618afb473c5b96603ef41b18184ea400215b88a9cea004ce0c2178670"",""commit"":""4b167341d19b6cbc81c92b1766e1dface891aa9b"",""batch_id"":""a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955"",""query_sha256"":""a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642"",""engine"":""oxigraph"",""engine_version"":""Oxigraph [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60"",""reified_endpoint_sha256"":""9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803"",""update_endpoint_sha256"":""a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""d56cf901c6e2771b45ad59a0c1001377666e8ca7462f3bcb221ee03a8609c349""}"
4b167341d19b6cbc81c92b1766e1dface891aa9b,oxigraph,Oxigraph [engines.json profile],100M,F,F3,00,ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693,C,SPARQLcirc CircuitRewriter,ok,19,25399.8,25399.8,25399.8,25399.8,0.0,0,1,1800.0,73355,6.5,38,133,19,,370.960488,[25399.76],[6.518],0.0,[0.0],25406.8,[25406.81],0.5,[0.532],r9.2-frozen-identity-v9,a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955,term-aware-candidate-set-v1,19,0534132a29fa7ff4f486f7534400c9e1c41b56bfe995c8f4b2cdf2f88f4dc152,flat,flat,f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693-f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7.nt,/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693-f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7.json,cd962be7f550eb2956cc993c12459da0aa8fa561768f6ce243172c2e5e30d5c9,99a0403e62bea7efc1fe766791a8dc69b08cf802150ea2da3cb8729ffb87254d,c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60,9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803,a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae,8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314,16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725,reified,writable,exploratory-base,exploratory-reified,41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7,735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a,2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215,7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4,6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe,,,,ec00bcd6bc242d3ba913f5854b612d8b7a5ba3efd8f09dbefe1d2d875f6446e2,"pcm-meta-v2:{""protocol"":""r9.2-frozen-identity-v9"",""message"":""C requested=flat effective=flat; steps=1 feedback=0; network includes CONSTRUCT, feedback INSERT, and cleanup DELETE"",""cell_wall_ms"":25784.239,""answer_kind"":""term-aware-candidate-set-v1"",""answer_key_count"":19,""answer_fingerprint"":""0534132a29fa7ff4f486f7534400c9e1c41b56bfe995c8f4b2cdf2f88f4dc152"",""c_parse_samples"":[6.518],""c_protocol_samples"":[{""requested_mode"":""flat"",""effective_mode"":""flat"",""fallback_reason"":null,""plan_steps"":1,""feedback_steps"":0,""feedback_triples"":0,""construct_query_ms"":25399.76,""feedback_update_ms"":0.0,""cleanup_ms"":0.0,""client_protocol_ms"":0.0,""network_scope"":""construct+feedback+cleanup"",""circuit_sha256"":""f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7"",""answer_fingerprint"":""0534132a29fa7ff4f486f7534400c9e1c41b56bfe995c8f4b2cdf2f88f4dc152"",""semantic_signature_sha256"":""ed2e8363804551a681603c5c100ebc2cc1706d647fbfd906fe38d875fb9b769d"",""structure_signature"":{""gates"":38,""edges"":133,""answers"":19,""derivations"":19,""leaves"":84,""plus"":19,""minus"":0,""nodes"":122,""canonical_bytes"":73355},""construct_total_ms"":25406.81,""client_unattributed_ms"":0.532}],""construct_total_samples"":[25406.81],""construct_unattributed_samples"":[0.532],""status"":""ok"",""status_evidence"":null,""c_warmup_signatures"":[],""measured_semantic_signature_sha256"":""ed2e8363804551a681603c5c100ebc2cc1706d647fbfd906fe38d875fb9b769d"",""measured_repetitions_consistent"":true,""cache_snapshot_ms"":1.976,""cache_snapshot_scope"":""first-measured-response; deferred until all runs succeeded"",""outside_cell_cache_write_ms"":7.931,""endpoint_lock"":{""wait_ms"":0.003,""lock_path"":""/tmp/sparqlcirc-r9-endpoint-locks-v7/735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a.lock""},""construction_requested"":""flat"",""construction_effective"":""flat"",""circuit_sha256"":""f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7"",""circuit_triples"":532,""circuit_bytes"":73355,""circuit_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693-f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7.nt"",""metadata_path"":""/mnt/nfs/home/ac145595/workspace/rq3-artifacts/circuits/oxigraph-100m/ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693-f207c0a00082018b703df0d83098bf5831c62941b46056d2dab0b67bee8f1cf7.json"",""producer_observation_sha256"":""cd962be7f550eb2956cc993c12459da0aa8fa561768f6ce243172c2e5e30d5c9"",""sidecar_sha256"":""99a0403e62bea7efc1fe766791a8dc69b08cf802150ea2da3cb8729ffb87254d"",""commit"":""4b167341d19b6cbc81c92b1766e1dface891aa9b"",""batch_id"":""a702b3b5338df02e470f4caf557c4de3085ec9de7d595181780fd1ce8b88a955"",""query_sha256"":""ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693"",""engine"":""oxigraph"",""engine_version"":""Oxigraph [engines.json profile]"",""scale"":""100M"",""base_endpoint_sha256"":""c9e65564945d8df3e6db347909ce749b23a5ceaa40b5bfbce825a1c78035ad60"",""reified_endpoint_sha256"":""9d75166c957de49226a016f8a64c1ef26fa5fb5aae4efed67a9ee6460103a803"",""update_endpoint_sha256"":""a8297913a408e55f541b6c7801716a469203e2ac506de1de3b4285a47b345bae"",""base_data_identity_sha256"":""8a988dc83f4082a4f27503ba2906dc6b8733b3c02be567635c726c67bbd48314"",""reified_data_identity_sha256"":""16162702ccec82b2a0e27063cd04bd756a27af1f003b4cef0da976d843ef4725"",""update_for"":""reified"",""access_mode"":""writable"",""base_data_name"":""exploratory-base"",""reified_data_name"":""exploratory-reified"",""update_canary_sha256"":""41997fb8640d9e765a0272879a63548eb9bd46bbf6e49da02b7c924e506b94f7"",""store_instance_sha256"":""735ac62b30e8a3e73b850ea02c7ab19c17b1289095d95961d66c9b3270bcea6a"",""store_discriminator_sha256"":""2e884d94ace185d62b1b91debf493ccd0a69b83d08e74cf5f1c2be4851b14215"",""tool_sha256"":""7b43c2342d7676aa65cc9ee233b2184c9eae88f2663874af7ab1b83282f94ab4"",""java_runtime_sha256"":""6ffd10b28ab050230cdc1137f0bd16155c3a7c587add7fbe921d985fa92879fe"",""run_identity_sha256"":""ec00bcd6bc242d3ba913f5854b612d8b7a5ba3efd8f09dbefe1d2d875f6446e2""}"
