# Commit-hash map for the 2026-08-01 history rewrite (co-author trailers removed).
# Trees are byte-identical on both sides; only commit messages changed, so every
# SHA below moved. Use this to resolve a pre-rewrite commit recorded in a result CSV.
old_sha	new_sha
f9f52042e46cdcc2ec1e9b65cc799f8dd6a9d487	85ba0639e9ddbaad212bd3f5aa99cb324000a095
7d10be7d164bb73c1fff9264e169babe845f105a	7e12573ff8c61c7084a94f9be4d63975bb4c9220
a334c925f39d53bfc43d638a93268e569b6dfb57	a98c64120b3b672500e3f2e5dcddbf6bef3e73fb
64b529c482ac056d1763debb6d2e6965587bc19b	685d0aee1084c679f690d2d7fdc09c6b4ca33b2b
4b2f5c6595938cb99fd82a6d650f1e0e369b1223	27f46bd8ed7204f54d9e803fab77ab9fb44b464b
8cfda4677b19da6b12d4864a4da4961c48dadaaf	c6ad0d2ad5fd542db6bf4ab330e94ee2c64007e0
2c0391541d03027172e604b81ad02c65762f35d8	60bbca14342c7b18b55a98814c4e0073790a2ecf
2bf6fb0eab0d083b2aac7ec60823d94549a0a2fb	97e58bd1bc669de963392ece4b22e03175175aa3
48ae7b7efc7ffbc2544515b366be625cfbf7717d	fae6700eb36e5e3846b405f04276c3a26860275c
ea70900059021ead32979f239bebb5cab1c85fca	7406a7ef9b6d6b5f322d78fc19f681cfb760a103
1e670217e5ccd0b68911139e8af84a0bed637024	2e58788cbd49fb729de54ce16a4015ea64fb1af9
7ce7f22f14179bf5f26bf0a4964f75ca87a859fc	310c2642bd9105656b0a55fb88c2494753f4d668
ec30d87ebe3136084c8ddd13c3f7ed11e45a5c48	0d70cd3d8c483bb01791039601b51c507a748cbe
cc1e39c115f35c548122923d67965d8820e20939	c7dac3dc3c6b616b5a4cfe4a44f0764718c558ad
4496442a68ef7810eac491f815e7da804b7f57df	9845e164defb87229280ee587d46396dfa50a404
78c96329acbce257ee1166169cdadceddb1edb4b	a05735cb398e2a7dd927ba0f20deb9727b24e37b
4e3574d6c3f3caed94849d2c0caa1af8221a49c6	0e414a5fe6dda66e4e6b352b19d6e6f86ee7a87c
1c0a721bf13f0af7181b2c0fbdd493d595443133	1acb57f4265fb82a610bdd8a947e459965219a40
bc8cb03895135ba2c146e767f56a083ccb824d17	7572beeaa0c37c01248256866f6e7082c9f00bed
c4ec949a12f9c795e30aec3bfd7bd09a41e5962f	421c89ac9d730383f19c30af338c8b88e822e73e
f348a849e601ba49db3ccaaaaff9cd41062af8d4	6773b1f9803a542ef2d4a279895e26337896e18c
aaec9fac573e84790b7a45c478e7bd2ade7b91f0	393329785065a1cb4899716b120fc2ee5828704e
63226f86601ae5b150cfd2da0785834fecbb6fa6	dbfaa38f2d50a418602f63ee7e57f92fce06eb68
7882a1e7da59482cf9a5aadb72d1f3ddec46fc41	579a7c821c2cf42e3b50dfaf37be17bace8c4bf8
cc59f0acd1c8360be9b861f648cd2ec295a2291d	d931d7248fa091c350b0b4cc05db681cfface29d
4869d87ff0568655408acab3a63724cbf646bf32	92fd476830a3c53decc28518d367b60867d2085b
406ddbe36c6c894b39d4f292b9cd41b996f0c3e6	e6fa2c7fa4ada7faf9a4dd0d9844fea3ef24a897
d1ff7b1e61f124fe3cb226eaa9ea161cab7aa05e	9aa226acb38e05311566963de12ab7320aa5a325
7844e7252588e1879a588212625f73e1c15ec55e	f133d555b2b3f3bffe22fcef7bb0dbc909b2b4aa
18674afd6d35727c976110d676ca4122c7230cfc	977e8d1766583c04b8520962260ee658590296e7
7d561c60c197fb362d2c4d8dbb3f2a27bc1b9339	bab13f61deb2c53e71e5d67b8d3ae6c88d1d6fa4
90c3c3ca05244bbc46c460540158342c3f369e93	7251fb7c7852c1afbd479a00a28371e86af24a9b
77d067f96c20ca1eb972d076769f3004d64a0ef5	298994f0e9bd85456ec19e017afffc4367c4c9fa
fc5e4a10bdc37c02e339dcf2382bba8b28bc3193	1f6c1caeabeb3b82a20d7607ec66d732fda300e2
8280a3102f243af7a4d5399e69517a5addaecc3b	db5f5008ada564a1d91653ac1fe46d598c2def1a
b33d26e278816e240bcf631781a0d2c570b77452	04f1caca2cd8c9adbab40ad15b8389c3554ca0c0
5b34378d5460f7b333ed62c7fe2f6a7499a55817	734aa6cb89afc32c39291e2e578f236e3ee50de5
80f265d40fcfa46bcc4b9623241a984ab65716e9	90ce9867aa7d43f958719ee3cced5d14f303f0d7
1ca3c7947b7f254d411d4eb7283f7446ffa69a31	afa8096d48122393d99d5d4ee53ff8a06335fe7d
d055c03daea634a09fcf56e222be609d9500a39f	371c637e04fc334d563bede7e82d5efafb24899f
95b095253a199ac81e1fcf4f66086b3e55133ac5	82a525567fc2cdf0f3082a0d5d611ad75ec10e74
d135a35ce9ca018544dfd12f9658d3dfa2e478af	e02f05abf9f446dad85b00ca63fc2e8d1c8e6af3
5c420a4eaab586fe5f7480d346dbbbd93861d601	86d1d1e05247a6cf82ca5a26b57f57d757d93c54
febd022f3723d151c535d34f7660abc14bfec2b3	4f88a9a7e4313c9a5fb9c613f80756f8cc96c06c
d5d9f64d27fb9f1d788c7efd1ffa995ce11e15a1	3b62d9ac5e2f19bf85a60a075b9eb11f2be56d8e
2d43d5d2200b3ce70386d80e3a830af80d477fd5	86a1532e3e56e98b35e230312f96f65bce8e5c24
f846a293195f5b5a755497f7c38bf65e1f5b9198	5f18c7601ce923849b7070b931f4fa2a93b061cb
0d7786885527462758bfac702667195cd5c76c62	b8077f93c44a5f26386f035651f523dd18bcac8b
7c970188570f6f18f6300859deab057e268168cf	85bc3e867ae30d46256f20fa0aaa8f7aa4488061
5003f97cdeebc6922eecee9cf6e9058504ce5007	7e27dcb7a729a428e998cb16f01c0be265b03944
36e093be2ce5fc64e9e7857beb5f6127fdbef1b7	aad1209c8adcce0fd16c86d1b5d55619b10730d1
0e4afa0751c337731acf6b9fee87901ffcd6732b	ece721e5cae11e2c6b7df27f212053102da04e9b
fee8202d1c20ce77fafd2dedcde30fcf66c546c6	5db49411b109a245ea04768ca5ca44b333058939
7d26f3d8548bab29f9ebf14a83c9d2db44295f8c	d0995942b049cd6a86814e9e02a94bb637d5d299
fb59677b733a670959dcd716514f9e6a7e1bb5fc	003d921a9634c407c4a0c85e5832ba7a5998373f
7da320400f02e7d660476287829328ef6b170c53	efaadbbd891134c7f12b5d045bd41f5690b31da7
424d31891cf6cea518b034ee6ed0ce5207900e69	a0222c60438c7014c33ba48156ed3365c8286958
88cd149cacd25194edafaed11cc4303cada0a3f1	1e44a9d8c577854637b5de7ec066c68b31c63db3
20530ec2380278cc87bc4d837b1f4f2ad677792f	665e95573198a4dfc09a08c194c3339b1b64b32c
c76edc7eabc4fc80baf37e5dee6fd4a2f622f3ac	e9c8c78f22e4e9236991a6b6ec4eb3477746b9c2
1ffc5f846d6940e9dd24a9ea5dcb5405a14db084	f2a28a4408c04edf3b190511258f379bd1767d50
dd61fe52a068e9c43b0412431fd59d0168bf8f45	109b8f57c22b24dddc53e8960354a4cfa9cbd4d9
3f96bfad9eeb7d15776262a61555b7b0ef3e91f0	95369c41dcc8b04af95c0e1958c475056b57b4f0
2df3c34cc4d465db83f19daa2b53c121cc48567a	73e703b5ea46cca22a087025b2d6a8482bbd2283
a2b9c7cb64cb713713dcf99b870cdb1210b5f987	11d8a070fba8363dccce7aaa7a30dc675a331a6d
