query,bound,status,build_ms,plain_ms,c_overhead,deriv,gates,edges,answers,T_string,T_circ,share
P2-path,False,ok,34,99,0.34,13,26,39,13,26,65,0.4
S-star,False,ok,46,190,0.24,54,56,216,2,162,272,0.596
