query,status,plan,build_ms,deriv,gates,minus,edges,answers,share,wmc_pwe
Mminus,ok,4,3409,15337,61674,15000,79380,1000,0.109,
Q10,ok,1,2449,14902,29804,0,59608,14902,0.5,
Q3,ok,1,2420,14908,29816,0,59632,14908,0.5,
Q5,ok,1,23649,2333,4666,0,13998,2333,0.625,
Q9,ok,1,29880,60175,120350,0,240700,60175,0.5,
Qrecon,ok,1,230,3706,3953,0,11118,247,0.492,
